author_title,review_text,review_rating,review_datetime_utc,owner_answer
"John D","Great service, very professional team. They arrived on time and did an excellent job cleaning our carpets.",5,"2026-02-10 14:30:00","Thank you John! We appreciate your kind words and look forward to serving you again."
"Sarah M","Called twice, never heard back. Finally went with another company. Disappointing.",2,"2026-02-05 09:15:00",""
"Mike R","Good job overall. Pricing was fair and the results were decent.",4,"2026-01-28 11:00:00","Thank you for your review Mike!"
"Lisa K","Absolutely terrible experience. They showed up late, didn't have the right equipment, and had to come back a second time.",1,"2026-01-20 16:45:00","Thank you for your review. We apologize for the inconvenience."
"Tom B","Very happy with the cleaning. Will use again.",5,"2026-01-15 10:30:00","Thank you for your review. We appreciate your business!"
"Amy W","Left a message and waited 3 days for a callback. When they finally came, the work was okay but the communication was awful.",2,"2026-01-10 13:00:00","Thank you for your review. We apologize for the inconvenience."
"David P","Professional and thorough. Best cleaning service we've used.",5,"2026-01-05 09:00:00","Thank you for your review. We appreciate your business!"
"Rachel S","Scheduled for 9am, nobody showed until 11. No phone call, no text. Disorganized.",1,"2025-12-28 14:30:00","Thank you for your review. We apologize for the inconvenience."
"Chris L","Decent work but had to call multiple times to get a quote. Hard to reach.",3,"2025-12-20 11:15:00","Thank you for your review. We apologize for the inconvenience."
"Emily T","Fantastic job! They were on time, efficient, and the carpets look brand new.",5,"2025-12-15 16:00:00","Thank you for your review. We appreciate your business!"
"James H","The crew was friendly and did a good job. Would recommend.",4,"2025-12-10 10:00:00","Thank you for your review. We appreciate your business!"
"Nancy F","Took forever to hear back. Still waiting for them to finish the job they started 2 weeks ago.",1,"2025-12-05 08:30:00",""
"Bob G","Excellent work on our office building. Very thorough and professional.",5,"2025-11-28 15:00:00","Thank you for your review. We appreciate your business!"
"Karen W","Mixed up our appointment time and we had to reschedule. The actual cleaning was fine though.",3,"2025-11-20 12:00:00","Thank you for your review. We apologize for the inconvenience."
"Steve M","Good quality cleaning at a fair price. No complaints.",4,"2025-11-15 09:30:00","Thank you for your review. We appreciate your business!"
